ngram,influence
nutshell,0
create,0
point_one_oh,0
athlete,0
hearing,3.731222812
detect,11.14271322
prehypertension,0
spend,0
enter,0
companion,0
mixture,0
amaze,4.905903271
discomfort,0
behave,0
love,4.318851905
disea,0
wealth,0
reprieve,0
address,-2.394475482
reiterates,0
ahh,0
flirting,0
cool,-1.235932899
gee,0
neck,0
fair,0
tedious,0
support,4.060135406
parallel,0
beliefs,0
peaceful,0
dramatically,0
categorize,0
compound,0
unproductive,0
fortunate,0
article,0
business,0
advance,0
gonna,-3.631645962
lonely,5.296533038
sized,0
perception,0.557069788
observation,0
teach,0
bore,0
extended,0
need,-1.733916159
distorted,0
hoop,0
avoid,0
client,0
accountability,0
lock,0
knee,0
fiance,0
content,0
wonderful,5.435009608
turning,0
careful,-23.08335357
absorption,0
towards,-0.135343059
atlanta,0
january,-0.426765113
mountain,0
one,0
somewhere,0
zero_three_nine,0
combine,0
housekeep,0
impact,15.22200746
land,0
no,-8.308023478
backwards,0
surrender,8.674494253
point_oh_two_nine,0
only,-4.281280014
dealt,0
door,-4.142681267
rephrase,0
boundary,0
u_as,-3.046136691
d_v_ds,0
told,0
different,0
dare,0
enjoyment,0
supply,0
fraternity,0
reveal,0
masterful,0
poster,0
rich,0
relieve,0
tribe,0
silly,0
meddlesome,0
blind,0
payoff,0
cursing,0
bar,5.870303217
taco,0
refer,-6.975996024
subtle,0
crashing,0
prenatal,0
risks,0
be,1.459525927
assistance,0
noby,0
basic,0
laugh,-8.977373189
caloric,0
spell,0
overcome,0
eleventh,0
immigration,0
three_point_five,0
c_p,0
rearrange,0
compatible,0
downswing,0
dentist,0
letting,0
educational,0
premise,0
eighty_eight,0
trevor,0
upon,0
remem,0
hallucinogens,0
excuse,0.441268664
hide,0
steve_moreno,0
gourmet,0
that,4.908789584
stepdad,0
ballgame,0
university,0
trap,0
protect,0
delivery,0
survey,0
route,0
reduces,0
confront,0
layer,0
defect,0
screw,4.335777934
replacement,0
conscientious,0
error,0
grownup,-2.059466763
mislead,0
instruction,0
local,0
ef,0
statement,0
tentatively,0
milestone,0
starting,0
happened,0
scotch,0
downstairs,0
ginger,0
winterize,0
dull,0
agitated,0
dimension,0
marriage,0
broach,0
traumatic,0
underneath,0
unimaginable,0
point_eight,0
porch,0
minimum,0
noticeable,0
chill,0
temptation,0
handling,0
FALSE,0
evil,0
weigh,0
thought,0
upset,0
versus,0
department,0
blunt,0
morning,0
downer,0
planned,0
dictate,0
bless,0
estimate,0
surround,0
urine,0
behavioral,0
impressive,0
patient,-2.135698129
responsive,0
clothe,0
writ,0
heat,0
insurance,0.446934037
cranberry,0
ongoing,0
obligation,0
alcoholism,0
container,0
tenish,0
k_r_c,0
watchout,0
zero_three,0
guthrie,0
if,1.135026347
face,0
effective,0
cure,0
i_d,0
mean,-0.569989108
